                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.91251,                0.54117,                0.99587,                0.90046,                0.62395,                0.75201,                0.54923,                0.95739,                0.60469,                 1.0876,              0.0015288,              0.0015288,              0.0015288
                    122,                 0.8971,                0.54035,                0.98901,                0.89009,                0.62879,                0.74676,                0.53996,                0.97368,                0.60105,                 1.0927,              0.0015248,              0.0015248,              0.0015248
                    123,                0.90186,                0.53396,                0.98748,                0.90191,                0.62851,                0.75771,                0.55221,                0.96408,                0.59425,                 1.0928,              0.0015208,              0.0015208,              0.0015208
                    124,                0.90523,                0.53758,                0.98973,                0.88644,                 0.6391,                0.75278,                0.54766,                0.96925,                0.57786,                 1.0932,              0.0015169,              0.0015169,              0.0015169
                    125,                0.89997,                0.53148,                0.99074,                0.88027,                0.64179,                0.75556,                0.55519,                 0.9499,                0.58038,                 1.0833,              0.0015129,              0.0015129,              0.0015129
                    126,                 0.8952,                0.53256,                0.98219,                0.90459,                0.63766,                0.75417,                0.55363,                0.94532,                0.57715,                 1.0697,               0.001509,               0.001509,               0.001509
                    127,                0.89758,                 0.5279,                0.98198,                0.89992,                0.62537,                0.74983,                0.54534,                0.96454,                0.59877,                 1.0944,               0.001505,               0.001505,               0.001505
                    128,                0.89959,                0.52869,                0.98874,                0.88215,                0.62364,                0.74228,                0.53652,                 0.9942,                0.60388,                 1.1141,               0.001501,               0.001501,               0.001501
                    129,                0.91538,                0.53982,                0.99301,                0.88161,                0.64253,                0.75147,                0.54203,                 0.9772,                 0.5881,                 1.0993,              0.0014971,              0.0014971,              0.0014971
                    130,                0.89264,                0.52684,                0.98199,                0.89132,                 0.6391,                 0.7462,                0.54192,                0.97602,                0.59181,                 1.1032,              0.0014931,              0.0014931,              0.0014931
                    131,                0.88961,                0.52391,                0.98168,                0.87192,                0.64568,                0.75424,                 0.5459,                0.98276,                0.60347,                 1.1061,              0.0014892,              0.0014892,              0.0014892
                    132,                0.89579,                0.52687,                0.98394,                0.90875,                 0.6265,                0.75425,                 0.5486,                0.94685,                0.58068,                 1.0788,              0.0014852,              0.0014852,              0.0014852
                    133,                0.90188,                0.52843,                0.98468,                0.87037,                0.63738,                0.74968,                0.54429,                0.96021,                0.58079,                 1.0899,              0.0014812,              0.0014812,              0.0014812
                    134,                0.88504,                0.52039,                0.98364,                0.90294,                0.61773,                0.74146,                0.53972,                0.98065,                0.60259,                 1.1006,              0.0014773,              0.0014773,              0.0014773
